                                                  review  stars
85     "I'll keep this short and sweet:. . Yes, I bel...    4.0
86     "I've had the opportunity to try different Fis...    4.0
87     "Awful awful awful awful. It's a damn shame th...    1.0
88     "Just a precaution... use cash to pay.  I have...    1.0
89     "So glad we chose this place! Coffee was delic...    5.0
90     "The other reveiews are accurate and what you ...    5.0
91     "Great food and excellent service.   Love the ...    5.0
92     "Come hungry!!! I had the steak and shrimp whi...    4.0
93     "The food here is terrific, but high calorie. ...    4.0
94     "Quite simply the best pastry shop I've ever b...    5.0
95     "INCREDIBLE!!!!!!! My best friend is Lebanese ...    5.0
96     "My friend and I wanted to enjoy a very nice d...    4.0
97     "A local coworker bud of mine swears by this p...    4.0
98     "Awesome food, good delivery times. Always ple...    5.0
99     "Typical McDonald's food, their $1 menu is mor...    5.0
100    "I was quite disappointed with the lack of val...    4.0
101    "Great beer selection! Food is good quality bu...    4.0
102    "Amazing food every time we go. Now a family f...    5.0
103    "BLT deluxe was awesome. Something made it pop...    4.0
104    "Do it over and over again, so fun and sloppy ...    5.0
105    "This is, without a doubt, the best Cajun food...    5.0
106    "A good standard "authentic Irish pub". Had th...    4.0
107    "SOOO GOOD!!!. But soooo expensive!! ;-;. . Ba...    5.0
108    "Just stopped by to pick up a quick lunch. And...    5.0
109    "Good lunch spot if you work in the area. Conv...    3.0
110    "I brought my family here to cool off.  I was ...    5.0
111    "This place is right down the street from my h...    5.0
112    "I came here for breakfast before a meeting I ...    3.0
113    "Great great great restaurant in a sketch loca...    4.0
114    "Ok this place is nice I wont dispute that and...    2.0
115    "Just went back after not visiting for a while...    5.0
116    "Came here on a Tuesday before the crowds and ...    4.0
117    "WORST SERVICE EVER!!!!!!!!!  Waited 15 minute...    1.0
118    "You now the first time I went to the Griddle,...    1.0
119    "This is THE best place for breakfast in the w...    5.0
120    "Great service at this location.  Stopped by t...    5.0
121    "You can't beat a meal at Hawthornes !! Start ...    5.0
122    "If you're going to list your hours and say yo...    1.0
123    "Best filet mignon I've ever had.. . Cafe Mona...    5.0
124    "Seadogs - lovely decor, food is pretty good. ...    3.0
125    "Finally, the hubby and I stopped by on a Frid...    5.0
126    "I've been coming to the Rio for years. The bu...    4.0
127    "I am totally irie after tonight's dinner at T...    4.0
128    "Came here NY day to celebrate my friends enga...    4.0
129    "This place is absolutely DELICIOUS! I had the...    5.0
130    "Love having a Rachel's Kitchen in the neighbo...    5.0
131    "Love coming here for fulfill my breakfast cra...    5.0
132    "Great concept. Love the outdoor dining and fa...    4.0
133    "Grease - pimpled face pubescent cooking - goo...    5.0
134    "Order Fettuccine Carabba with no peas. . Fres...    5.0
135    "After being away for almost a week, I needed ...    4.0
136    "Pad Thai was so amazingly good! We also order...    4.0
137    "Been meaning to write about this place for so...    5.0
138    "Jennifer did a fabulous job when we went in w...    5.0
139    "Hands-down my favorite Cap Square restaurant ...    5.0
140    "not the greatest.. . only came here because i...    1.0
141    "Really good Japanese food. Albeit on the expe...    5.0
142    "Excellent food, great variety. Our server was...    5.0
143    "A little expensive, but it is Scottsdale, so ...    4.0
144    "Okay, let's get this out there and over with....    4.0
145    "Sorry to say...the service was the worst ever...    1.0
146    "I like/love Primanti's they are what I think ...    5.0
147    "Best margarita pizza ever? Try spaghetti & me...    5.0
148    "So unimpressed. Not from Madison but referred...    1.0
149    "If I had to describe Wings Over Madison in tw...    4.0
150    "This morning my husband asked on the way in t...    1.0
151    "Definitely a really cool place to hangout aft...    4.0
152    "One of my favorite places to eat, awesome foo...    5.0
153    "My husband and I ended up here after leaving ...    4.0
154    "Great juicy burgers. Yeah it can get pricey b...    4.0
155    "I would strongly suggest that if you go to Ca...    4.0
156    "Ordered all you can eat. They forgot two item...    1.0
157    "I'm actually kind of torn between a two star ...    4.0
158    "I like The Parlor.  This is a really cool bui...    4.0
159    "Excellent food! First time eating there. We s...    4.0
160    "Pretty. Good. Cheesteak Sub.. . I. Ate. The. ...    5.0
161    "Huge slices and friendly service for you, mis...    5.0
162    "Food was so good! Fresh, and definitely a hea...    5.0
163    "Probably the best selection of Bruchetta' s y...    4.0
164    "On Sunday afternoon 05/10/15, stopped for hap...    4.0
165    "This is a newer Yard House, a chain of restau...    4.0
166    "While the food and the cocktails (very strong...    4.0
167    "I suppose we all have our "off days."  God kn...    4.0
168    "I love their mushroom pizza and their fresca ...    5.0
169    "This is a great little shop that has a wide v...    4.0
170    "I was always so iffy on this place and its eg...    4.0
171    "MMM MMM MMM Thats what i feel about this plac...    5.0
172    "We went for lunch but after the 3 hour wait w...    4.0
173    "One of my favorite coffee shops in Vegas. My ...    5.0
174    "The food has been great, we've been in 3x. In...    4.0
175    "Save your money and dont eat here.... . First...    1.0
176    "It's hard to write a review for a restaurant ...    4.0
177    "Excellent food, sweet potato fries are awesom...    5.0
178    "Hostess and server were kinda rude. We were o...    3.0
179    "Don't not notice the student special! I misse...    5.0
180    "i've put off going to Melt for at least a cou...    4.0
181    "Love it!! Great food! Awesome customer servic...    5.0
182    "I am completely disappointed in this restaura...    4.0
183    "Food: ordered the Hokkaido style Chashu! It w...    4.0
184    "For those who know "Chicago Food" and especia...    5.0
185    "Delicious but they don't give you receipts wh...    1.0
186    "Average, especially with other options like C...    3.0
187    "4 stars for the "graveyard special". I had st...    4.0
188    "Tastes just like abuela's food! Nothing like ...    3.0
189    "If I could give 0 star, I would've.. The plac...    1.0
190    "Food 3/5. Service 2/5. View - overrated. . I ...    3.0
191    "we made a reservation for dinner on saturday ...    4.0
192    "Grateful Dead, Bob Dylon, The Police, The Rol...    4.0
193    "New favorite: #35 Veggie sandwich. . So I kno...    5.0
194    "My husband and I went for lunch today, and it...    4.0
195    "Some say that Flower Child is too expensive f...    5.0
196    "This place is not very posh, but the food is ...    4.0
197    "Amazing food, my fav. Chinese.... . Amazing s...    5.0
198    "Great place to hang out with friends, the pla...    4.0
199    "No complaints about the taste of the food.  I...    4.0
200    "Tried this place for the first time and loved...    5.0
201    "Food was bland... Beans, coleslaw, onion ring...    1.0
202    "This is a perfect lunch spot. It is very chea...    5.0
203    "So they may serve the best chicken kebabs I'v...    5.0
204    "Was super excited to try this place regardles...    4.0
205    "Amazing steaks served extra hot on a sizzling...    5.0
206    "Tis' the season for soup, er, zoup.. . I part...    5.0
207    "This, my friends, is THE place to get some ve...    4.0
208    "Always a fan favorite.  Can be expensive at t...    5.0
209    "I want to give this place two stars. It deser...    4.0
210    "Feels like my home away from home.  They alwa...    5.0
211    "Best Pizza ever. People here are friendly and...    5.0
212    "What made this place so great was how kind th...    5.0
213    "Street Taco HEAVEN!  The pork, and the beef. ...    1.0
214    "Came here for brunch on the weekend and loved...    5.0
215    "Hm. I spent one night here. The main lobby is...    4.0
216    "Food is like any other subway. I frequent thi...    1.0
217    "Still not impressed. Came with a party of 7 f...    4.0
218    "This place is amazing !! Great twist on class...    5.0
219    "I absolutely love this place! This is my brea...    5.0
220    "Check your order before you leave, got all th...    5.0
221    "I love Rush Espresso.  When I came back to Ch...    5.0
222    "My husband and I live within walking distance...    4.0
223    "I was I could give zero stars. Watching the b...    1.0
224    "I really wanted to like this place since it i...    1.0
225    "I came to Solstice a long time ago for a Yelp...    4.0
226    "Absolutely disgusting. Not only is the restau...    1.0
227    "Taking a tip from the last review, I'm giving...    4.0
228    "Fantastic place!  Great service, rooms are un...    5.0
229    "As good as it gets for Fry Bread and I am an ...    5.0
230    "Pretty cool little joint. My first time at a ...    4.0
231    "I'd give more stars because it's clean, moder...    5.0
232    "I'm a sucker for their chips and guacamole......    4.0
233    "The tacos the corn are so fresh in the hot we...    5.0
234    "We ordered the basic beef soup and the briske...    4.0
235    "Walked in here randomly with my friends and s...    4.0
236    "This was a pretty nice place to stop for lunc...    4.0
237    "Love this place!  Great food, good service!  ...    4.0
238    "I've been here quite a few times, finally get...    5.0
239    "It has been a while since I have last been he...    5.0
240    "Pretty good!  We went for dinner. We're (slow...    3.0
241    "Had a wonderful family brunch on Sunday. Serv...    4.0
242    "I have eaten here on multiple occasions and h...    1.0
243    "Best Thai food in Scottsdale.  Have been comi...    5.0
244    "We had an enjoyable dinner tonight.  It was r...    4.0
245    "Serving rotten fish and making you pay for it...    4.0
246    "Looks can be deceiving! It was our first stop...    5.0
247    "This is my favorite Asian fusion restaurant i...    4.0
248    "I had the BLT & Navy Bean soup, excellent!  M...    5.0
249    "A decent Vietnamese Pho place, always busy wi...    3.0
250    "I looked forward to dining at Swish, but did ...    4.0
251    "Great little find!  I have driven by this pla...    4.0
252    "We had a beautiful early dinner here on a Sat...    4.0
253    "They have no WiFi! The servers are relatively...    4.0
254    "O my dear sweet Lord that was a good sub. Had...    5.0
255    "Food just okay nothing special. As a lunch th...    3.0
256    "Nice liitle diner which seems to be frozen in...    4.0
257    "Nice atmosphere, good food, good service.  Th...    4.0
258    "Das Anno 1897 ist eine Kneipe und Speisegasts...    5.0
259    "Love this spot. The atmosphere is great and t...    5.0
260    "Its an exciting place to visit and the restau...    4.0
261    "Had dinner with the fam at Izba and I'm impre...    4.0
262    "HORRIBLE SERVICE! ACTUALLY NO SERVICE!  It wa...    1.0
263    "We totally enjoyed the meal, ambiance, and en...    4.0
264    "Easily the best sushi in the city. It's appar...    5.0
265    "The best think about Pepe's, hands down, is t...    4.0
266    "Love this place-music some nights --try the a...    5.0
267    "This was a delivery and a summary review by f...    1.0
268    "Decided to stop her with some friends for hap...    5.0
269    "My taco salad, besides being expensive for wh...    1.0
270    "I wish they took reservations over the phone....    4.0
271    "The Spicy tuna roll was the worst I've ever h...    1.0
272    "Had lunch here while visiting Las Vegas, fabu...    5.0
273    "I like the fact that the toppings are unlimit...    4.0
274    "The Cajun pasta I ordered was dry so I asked ...    1.0
275    "I actually went with here with Yusaku S. who ...    4.0
276    "A mobile smokery... interesting concept (thou...    4.0
277    "Sage is an absolutely outstanding restaurant ...    4.0
278    "We had such a bad experience during our typic...    5.0
279    "Both my friend and I felt uncomfortable in st...    5.0
280    "Tried Roy's for the first time last night whe...    4.0
281    "This place was a tale of two visits. First of...    4.0
282    "Delicious food and even better service! I sat...    5.0
283    "I remember the sausages to be meatier and jui...    5.0
284    "First time at this B Spot location. We are fa...    5.0
285    "I decided to try this restaurant for lunch si...    4.0
286    "Very expensive obviously.  Had bone in ribeye...    4.0
287    "My visit to Beef 'O'Brady's was my first and ...    1.0
288    "Anthony the owner is from Naples , Italy.  He...    5.0
289    "Here's an update:  Mad Dogs closed down this ...    3.0
290    "Lunch today was the second time that I've bee...    4.0
291    "Great food and a fun atmosphere. I have been ...    5.0
292    "This place is great for lunch, good for kids,...    4.0
293    "Burger was big and looked so good but wasn't ...    3.0
294    "Wonderful atmosphere and inspired sushi. Fres...    5.0
295    "Never order takeout on the phone! Great spot ...    5.0
296    "This has to be my favourite restaurant in all...    5.0
297    "We had an amazing experience at Table 10 a co...    5.0
298    "We went here with another couple on a sat. Ni...    4.0
299    "The brunch is one of the best in Pittsburgh! ...    5.0
300    "My fiancé and I decided to try out the sugar ...    1.0
301    "This place is fab. I live around the corner, ...    5.0
302    "This was my first but definitely not goin to ...    5.0
303    "Best local sushi place yet!  Room is bright a...    5.0
304    "I don't usually eat Italian, or pizza ... or ...    5.0
305    "What's with all of the hype?  Basil & Garlic ...    4.0
306    "The ribs are great, the service is fast, and ...    4.0
307    "To be clear, I ate at Pasta Brioni's To Go Ca...    2.0
308    "I've had this place bookmarked for a few week...    4.0
309    "Good Pizza, good drink specials.. . Pretty ty...    4.0
310    "Good burger, but pricey.  Skimpy sides.  Shak...    4.0
311    "Nice place..good Indian food!. Idli like was ...    4.0
312    "Avoid! Incompetent service! Like they are on ...    1.0
313    "Have been eating here since they opened a few...    5.0
314    "It's always a risk to my waistline when a Chi...    1.0
315    "Very classic trendy coffee shop. They have ev...    3.0
316    "Pizza was to die for. Sourdough crust was per...    5.0
317    "Absolutely love this place. Best Mexican and ...    5.0
318    "Stopped in for breakfast this past Sunday. Th...    1.0
319    "Stopped by this place because it was lunchtim...    4.0
320    "Swing by for an afternoon cocktail while I wa...    4.0
321    "It's very good , I enjoyed the seafood area t...    3.0
322    "I really liked the ambiance of Heart Sushi. T...    1.0
323    "Back in Vegas and with mom fresh off the boat...    4.0
324    "There's nothing not to like about Bar Buca.. ...    5.0
325    "Without a doubt, one of the best eateries in ...    4.0
326    "Just a few bites from our full review... . "T...    2.0
327    "Craftsteak was very disappointing. We did one...    1.0
328    "LOVE THIS FOOD. .   I had just recently moved...    4.0
329    "I ordered the tavern hamburger and it was exc...    5.0
330    "My bf and I love coming here! The wings are a...    5.0
331    "I bought a same day deal off groupon, $5 for ...    1.0
332    "One of the best breakfast joints I've ever ea...    5.0
333    "Great food and beer. Quick and friendly servi...    5.0
334    "We went to Miller's Ale House for my wife's B...    5.0
335    "The dinner was very good and the service was ...    5.0
336    "I went here Friday night for happy hour. I sa...    1.0
337    "Decided to bike to downtown Oakville and enjo...    4.0
338    "**sigh** I have a love hate relationship with...    4.0
339    "One of the worst places I've ever been to. I ...    1.0
340    "In my opinion this is the best fresh fish res...    4.0
341    "There is always a waiting list in the evening...    5.0
342    "The noodle soup it just to salty! Try eat twi...    5.0
343    "I ate here last week with a group of 16 peopl...    4.0
344    "I've always been too messed up to go with my ...    5.0
345    "Very good!  The yolk around the clock and smo...    4.0
346    "We're sorry to report that Tom Colicchio's He...    1.0
347    "Wife and I went here to experience the newest...    4.0
348    "I was looking forward to try this new restaur...    4.0
349    "Service is excellent here!  Food was deliciou...    5.0
350    "Hand down the best restaurant in N. Las Vegas...    5.0
351    "A so-so place to hang out on a Friday night. ...    4.0
352    "I usually love the salads here but tonight it...    1.0
353    "It was my second time there. Both times the f...    5.0
354    "I love this place!  I've eaten here twice and...    5.0
355    "My boyfriend and I tried this place last week...    5.0
356    "I hate to do it.  I hate to give a negative r...    1.0
357    "Americanized Mexican food. It's a-ok when som...    3.0
358    "One of the best Thai places in Las Vegas. Ord...    5.0
359    "Big fan! Been here quite a few times and will...    5.0
360    "Wasent sure what I was getting into trying th...    5.0
361    "I came back here today as it was literally th...    1.0
362    "Rodney's passes the test of authenticity that...    5.0
363    "Parfait endroit pour un lunch le midi!. . Tab...    4.0
364    "this is way overdue. and yes i carry a grudge...    1.0
365    "This was our second visit and again....excell...    5.0
366    "Wide selection of Korean dishes to chose from...    4.0
367    "My first time here and I'll admit I wasn't qu...    4.0
368    "Average mom and style eatery.  Typical Canadi...    2.0
369    "Around the world reviewing pho.. . Alright. A...    5.0
370    "Dude, this pizza is gross. Canned mushrooms? ...    1.0
371    "This is hands down the best Thai food in Toro...    5.0
372    "This place is great.. . If your planning on h...    4.0
373    "It was a very nice surprise to have this at t...    3.0
374    "We came here with low expectations, after all...    5.0
375    "Went there earlier this week to celebrate our...    1.0
376    "I was extremely disappointed here, they had b...    1.0
377    "Thought we would try someplace new and went o...    2.0
378    "Wooo! Had the vegan pulled pork. It was amazi...    5.0
379    "The atmosphere is super fun and the food is d...    4.0
380    "They were clearly understaffed as the service...    4.0
381    "FYI this is only a review of Cantina Laredo's...    5.0
382    "Fish and chips were excellent, full portion w...    5.0
383    "Food is very very good, but the service is ab...    5.0
384    "Finally a pizza I love! If you are going to h...    5.0
385    "This place sucks. We ordered a seafood platte...    1.0
386    "Well for a long time I only had there pizza a...    5.0
387    "Came in one afternoon and grabbed the beef an...    5.0
388    "Been coming here for over ten years and our g...    5.0
389    "awesome wings, fantastic beer selection and g...    4.0
390    "The banh mi is tasty but for 10.99 ? Very rud...    1.0
391    "Absolutely great little tapas bar was an unex...    4.0
392    "sub par Chinese. you may be better off going ...    4.0
393    "Imagine going on vacation and being taken to ...    5.0
394    "I LOVE THE 6$ LUNCH SPECIALS, they never disa...    5.0
395    "This is a very well conceived restaurant and ...    4.0
396    "Absolutely disgusting, I found a large piece ...    1.0
397    "Long story short if you want cheap representa...    5.0
398    "this place is good!! pretty high quality chin...    4.0
399    "Everything about the meal was tasty and beaut...    4.0
400    "Just ordered take out from Bindia Indian Bist...    4.0
401    "Many of the food choices are exceptional. We ...    1.0
402    "The combination of tender flesh and devine ar...    5.0
403    "had a great time with my husband and his old ...    5.0
404    "My brief 4 days in Toronto included 8 Chinese...    5.0
405    "I should have yelped this before I got the al...    5.0
406    "We ordered the baked rice toast box with chic...    3.0
407    "WOW. WOW. WOW.. . The staff was attentive. Th...    4.0
408    "Words can't even describe this place. From th...    5.0
409    "Ate there twice last week on our trip to Vega...    4.0
410    "First timer here at the Boiling Crab and boy ...    5.0
411    "I love this place. It has good feel good regg...    4.0
412    "Great service, great steaks. Come hungry beca...    5.0
413    "We love chens . The service is always really ...    5.0
414    "one of the best bargains in vegas. great food...    5.0
415    "First time eating at Rocky's.  I was able to ...    4.0
416    "I found this place on Yelp when I typed in "M...    4.0
417    "Mark Stoermer, The Killers' bassist, said in ...    5.0
418    "The food and the service was very good. But d...    5.0
419    "Best Poutine I've ever had no complaints. I'v...    5.0
420    "Love love love the bruschetta. The fig and hu...    5.0
421    "The food was decent, but not for the price. H...    3.0
422    "This place has old school decor and vibe but ...    4.0
423    "This was my first time here and I am now a fa...    4.0
424    "Went for lunch on a Saturday. Ordered a class...    4.0
425    "This is me and my husband's first time here. ...    5.0
426    "My boyfriend and I came to Charlotte from LA,...    4.0
427    "Second stop on our continuing Aria foodie cra...    4.0
428    "Wonderful N.Y. style pies! We had them delive...    4.0
429    "Been here twice for dinner and once for a dri...    4.0
430    "Food is between a 3 and 4 star depending on t...    5.0
431    "Custom cinnamon rolls? Sign me up.. After spo...    5.0
432    "Spent a whole night puking my soul out, and c...    5.0
433    "Food is very good! Curry reminds me of Jamaic...    5.0
434    "Every Christmas season a club my husband belo...    4.0
435    "Went here because Legend Chinese Restaurant c...    4.0
436    "Went to Vegas for a long weekend this past Fr...    4.0
437    "This was literally the best meal of my life!!...    5.0
438    "Low prices on craft beer, large booths and ki...    5.0
439    "I love that the crepes my husband and I enjoy...    5.0
440    "If you can, sit out on the patio. From your t...    5.0
441    "Grate people grate food fast Service our comp...    5.0
442    "Great restaurant, great food, but very slow s...    4.0
443    "It's been a long time since I ate here and th...    4.0
444    "Food was good... we ate on the side set up li...    4.0
445    "3.5 stars. So above average. This place is go...    4.0
446    "Quite a few of my friends have been raving ab...    4.0
447    "Plain and simple...unless you are among those...    1.0
448    "Wow. For a "tavern" this place has great food...    5.0
449    "So after a whole day at Marquee Day Club and ...    5.0
450    "I went into Kneaders today about 2:00, walked...    5.0
451    "Great service, poor food quality! Have had du...    5.0
452    "Initially, I was impressed by how nicely deco...    4.0
453    "This is a lovely restaurant in a great locati...    5.0
454    "Ordered their coconut chicken fried rice ($8....    5.0
455    "Touristy TRAP, stay away! Cash only, extremel...    5.0
456    "Our server Tina was extraordinary. Came to th...    5.0
457    "The quality has gone down over the years. I r...    4.0
458    "First off, you can't beat the Postino happy h...    5.0
459    "Lovely Italian restaurant. Went here for a bu...    5.0
460    "One upon a time, this was a 5 star place in m...    4.0
461    "I resisted this place for a ling time thinkin...    5.0
462    "This "establishment" doesn't even deserve one...    4.0
463    "Want to know where the good places to eat are...    5.0
464    "Pretty standard Subway, clean and reasonably ...    4.0
465    "We chose Canyon Cafe for our dinner after wal...    4.0
466    "Went there for girls night out...I knew about...    4.0
467    "This place was amazing loved it and plan to c...    5.0
468    "Definetely would go back. Very good: draft be...    5.0
469    "This is a great place to get some pretty soli...    4.0
470    "Really enjoyed our dinner there.... . loved t...    4.0
471    "What do you get when you put a 50's-60's styl...    4.0
472    "Fantastic experience. Food was great. Teq fli...    5.0
473    "The Special rolls, the Donburi, the Ramen - m...    5.0
474    "My favorite Sushi place in town. I love their...    5.0
475    "I have been pretty unimpressed with shwarmas ...    3.0
476    "Made a quick stop for lunch with coworkers. T...    4.0
477    "Gilbert is cool.  Yeah, that's right, I said ...    5.0
478    "My daughter wanted to try here for her birthd...    3.0
479    "We got charged full price for our drinks even...    1.0
480    "I was told this was a Bulgarian restaurant, b...    4.0
481    "Walk up and they ask for ID in a very abrupt,...    1.0
482    "Love the garlic bread and rigatoni special! T...    3.0
483    "My wife and I went to The Mission tonight wit...    5.0
484    "This is spectacular. I had to actually kiss t...    5.0
485    "Today was our first time at Heart sushi. The ...    5.0
486    "This has to be one of, if not the best Greek ...    5.0
487    "I am from Boston, MA and spend a lot of time ...    5.0
488    "I LOVE Chinese food and have eaten at many a ...    1.0
489    "I'm always looking for places where I can get...    4.0
490    "Patio dining has great atmosphere with the fo...    4.0
491    "Sun's kitchen is one of the rare places in th...    4.0
492    "Very cute bakery! The service is awesome, tha...    5.0
493    "Been here some 3 times and its always hit or ...    1.0
494    "Here for the weekend and was told i had to tr...    2.0
495    "Made to order pizza and sandwiches. Great alt...    5.0
496    "Overpriced. Was blaring crap 90's trash-pop. ...    5.0
498    "Pretty tasty Indian food. Some dishes were wh...    4.0
499    "I went for dinner with a friend, and we ended...    4.0
500    "Tasty and fun Japanese place with great apps ...    4.0
501    "We cobbled together a group of 7 friends who ...    4.0
502    "Was pretty excited to try this place. Walked ...    1.0
503    "This is your typical sports bar. Nothing amaz...    5.0
504    "Wow what an amazing night ! The sushi was Ffr...    5.0
505    "Probably one of the best burger places out th...    5.0
506    "Eat like a fat boy in a healthy land w a gour...    5.0
507    "Great little hole in the wall place. Pizzas a...    5.0
508    "Beer was good! Food was okay. A little overpr...    4.0
509    "Not impressed with this Korean Bbq itself. I ...    2.0
510    "I attended with a large party yesterday and V...    4.0
511    "Delicious!  We went for the double stacked re...    5.0
512    "Warm salad, out of items, raw food, mushy shr...    1.0
513    "Used to give them 4/5 stars, until they would...    1.0
514    "I'm constantly searching for the best mocha f...    5.0
515    "This place is kinda far from me, but I stoppe...    4.0
516    "Decent apps. Like the fried pickles.  Service...    3.0
517    "The wagyu skirt steak was pretty awesome.  I ...    4.0
518    "Their patio was not open and could not seat m...    3.0
519    "Natural casing hot dogs that snap.  A soft bu...    5.0
520    "We caught some drinks here after a conference...    3.0
521    "The food is great the smoked pot roast and th...    5.0
522    "Do any of you have one of those single friend...    4.0
523    "If I'm craving a delicious margherita pizza, ...    5.0
524    "This place is huge!! Love their decor and jus...    5.0
525    "The service wasn't great, but the food, my go...    4.0
526    "I have got to say, coming in on a Sunday morn...    5.0
527    "Came here on a dark rainy day and was so luck...    4.0
528    "Best Vietnamese in town. 61 beef stir fry is ...    5.0
529    "Tried Over Easy today and thought that for a ...    4.0
530    "The place was cute and homey.    We had a par...    1.0
531    "I wish I could have brought this place back h...    5.0
532    "I was so excited to see that this restaurant ...    1.0
533    "Yes, this place is kind of expensive. Whether...    4.0
534    "Hello, I was just there on 5/28/16 and was se...    1.0
535    "*Review for takeout only*. . 3.5 stars but th...    5.0
536    "Believe it or not, I think Nobu Vegas stands ...    5.0
537    "Stopped by here with LiLy D to grab a quick b...    1.0
538    "Wow - I was pleasantly surprised by Brio. Whe...    3.0
539    "I met my family here on a Sunday afternoon wh...    4.0
540    "I have seen the lines here on the weekends an...    5.0
541    "Holy taste buds! . . My hubby and I went for ...    5.0
542    "This place is closed!!!!  Tried calling and n...    1.0
543    "Took 1,5 hours for delivery, so 40 minutes la...    1.0
544    "Hard to find initially, but definitely worth ...    5.0
545    "It's winter.  Time for snuggling up with the ...    4.0
546    "We loved this place! . It was a rainy day in ...    5.0
547    "Super vibe-y at the original Wallace street l...    5.0
548    "Authentic Brooklyn style pizza is what Grimad...    4.0
549    "Yum yum yum. I saw an Instagram post from blo...    4.0
